               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079215,            0.032238,                   0,           0.0014553,                 0.4,            0.041458,           0.0090777,            0.041956,            0.018611,                   0,              0.0937,              0.0007,              0.0007
                   1,            0.080655,            0.030067,                   0,           0.0030557,                 0.4,            0.033459,           0.0092684,            0.038974,            0.014538,                   0,            0.086463,           0.0014629,           0.0014629
                   2,            0.060158,            0.028202,                   0,            0.010553,                 0.4,             0.22041,            0.041964,            0.029558,            0.013231,                   0,            0.079186,           0.0021861,           0.0021861
                   3,            0.052823,             0.02746,                   0,               0.002,                 0.6,             0.10825,            0.045245,            0.027247,            0.010848,                   0,             0.07187,           0.0028698,           0.0028698
                   4,             0.04603,            0.027043,                   0,             0.11166,                 0.4,             0.31414,             0.10012,            0.019072,             0.01098,                   0,            0.064514,           0.0035139,           0.0035139
                   5,            0.040299,            0.025998,                   0,                   1,             0.36652,             0.52543,             0.35406,            0.013564,           0.0087652,                   0,            0.057118,           0.0041184,           0.0041184
                   6,            0.039198,            0.023453,                   0,             0.36516,                 0.4,             0.32341,             0.13648,             0.01201,           0.0096502,                   0,            0.049683,           0.0046832,           0.0046832
                   7,            0.036632,            0.023018,                   0,                   1,             0.58003,             0.73786,             0.40453,            0.018906,            0.008479,                   0,            0.042209,           0.0052085,           0.0052085
                   8,            0.036215,            0.021338,                   0,             0.30027,                 0.8,             0.39472,             0.23467,            0.012745,           0.0090262,                   0,            0.034694,           0.0056942,           0.0056942
                   9,            0.034166,            0.020153,                   0,             0.59247,                 0.6,             0.62049,             0.31627,            0.015241,            0.011198,                   0,             0.02714,           0.0061403,           0.0061403
                  10,            0.036149,            0.018762,                   0,                   1,             0.39905,             0.57264,             0.33512,           0.0091305,           0.0093146,                   0,            0.019547,           0.0065467,           0.0065467
                  11,            0.034045,            0.019147,                   0,             0.59511,             0.59023,              0.5401,             0.28773,             0.01136,           0.0088679,                   0,            0.011914,           0.0069136,           0.0069136
                  12,            0.035822,            0.017833,                   0,              0.6205,                 0.8,             0.69392,             0.28004,            0.018436,           0.0079272,                   0,             0.00703,             0.00703,             0.00703
                  13,            0.032644,            0.017021,                   0,             0.27498,             0.60742,             0.44262,              0.2765,             0.01457,           0.0075467,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.030281,            0.017475,                   0,             0.31434,                 0.8,             0.47201,             0.26669,            0.012102,           0.0079195,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,            0.038358,            0.017354,                   0,             0.62163,                 0.4,               0.595,             0.34498,            0.012826,           0.0073567,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.028017,            0.015109,                   0,             0.27263,                 0.8,             0.28506,             0.15891,            0.014158,           0.0064757,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,            0.027704,            0.015743,                   0,             0.55235,                 0.6,             0.48037,             0.17587,            0.011351,           0.0062918,                   0,             0.00604,             0.00604,             0.00604
                  18,            0.029875,            0.015634,                   0,              0.2935,                 0.6,             0.29691,             0.20805,           0.0094913,           0.0073171,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,            0.030533,            0.014557,                   0,             0.35149,                 0.8,             0.36476,             0.26431,           0.0085078,           0.0071186,                   0,            0.005545,            0.005545,            0.005545
                  20,             0.02501,            0.014021,                   0,             0.36166,                 0.8,             0.40754,             0.23627,           0.0099053,           0.0064752,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,            0.027099,            0.013249,                   0,             0.49172,             0.77682,              0.4375,             0.21964,            0.010514,           0.0060289,                   0,             0.00505,             0.00505,             0.00505
                  22,            0.023546,            0.013913,                   0,             0.64174,             0.72521,             0.56846,             0.39987,           0.0095961,           0.0060698,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,             0.02086,            0.014345,                   0,             0.56161,             0.77251,             0.53095,             0.37665,           0.0097364,            0.006188,                   0,            0.004555,            0.004555,            0.004555
                  24,            0.019463,            0.013095,                   0,             0.65935,             0.77806,             0.72379,              0.4889,           0.0091495,           0.0059099,                   0,           0.0043075,           0.0043075,           0.0043075
                  25,            0.025412,            0.013032,                   0,              0.7103,                 0.6,             0.67595,             0.43122,           0.0090876,           0.0059657,                   0,             0.00406,             0.00406,             0.00406
                  26,            0.016671,            0.013041,                   0,             0.65349,             0.76046,             0.61333,             0.40555,           0.0089388,           0.0057878,                   0,           0.0038125,           0.0038125,           0.0038125
                  27,            0.016579,            0.012113,                   0,             0.60975,             0.62925,             0.73389,             0.48624,           0.0084208,           0.0055448,                   0,            0.003565,            0.003565,            0.003565
                  28,            0.017958,            0.013336,                   0,             0.92623,                 0.8,             0.90611,             0.72302,           0.0062843,           0.0045499,                   0,           0.0033175,           0.0033175,           0.0033175
                  29,            0.017389,            0.012206,                   0,             0.96611,                 0.8,                0.92,             0.70147,           0.0059882,           0.0043594,                   0,             0.00307,             0.00307,             0.00307
                  30,            0.017579,            0.012799,                   0,             0.97255,                 0.8,                0.92,              0.7442,           0.0055017,           0.0042331,                   0,           0.0028225,           0.0028225,           0.0028225
                  31,            0.014204,            0.012232,                   0,             0.97992,                   1,               0.995,              0.7524,           0.0058965,             0.00379,                   0,            0.002575,            0.002575,            0.002575
                  32,            0.013891,            0.010999,                   0,             0.81284,                   1,             0.92833,              0.7165,           0.0056825,           0.0034886,                   0,           0.0023275,           0.0023275,           0.0023275
                  33,            0.013734,            0.011884,                   0,             0.78223,                 0.8,                0.88,             0.69573,           0.0060285,           0.0038685,                   0,             0.00208,             0.00208,             0.00208
                  34,            0.015249,            0.012137,                   0,             0.78805,             0.75221,             0.86611,             0.68489,           0.0060841,           0.0038888,                   0,           0.0018325,           0.0018325,           0.0018325
                  35,            0.015749,            0.010821,                   0,             0.82808,             0.96849,             0.96167,             0.80612,           0.0053816,           0.0033523,                   0,            0.001585,            0.001585,            0.001585
                  36,            0.014471,            0.011297,                   0,                   1,             0.99375,               0.995,             0.83213,           0.0051854,           0.0030978,                   0,           0.0013375,           0.0013375,           0.0013375
                  37,            0.013022,            0.011082,                   0,             0.96774,                   1,               0.995,             0.83218,           0.0050638,           0.0029636,                   0,             0.00109,             0.00109,             0.00109
                  38,            0.011353,            0.011128,                   0,                   1,             0.99297,               0.995,              0.8522,           0.0049532,           0.0029844,                   0,           0.0008425,           0.0008425,           0.0008425
                  39,            0.013767,            0.010645,                   0,                   1,             0.78772,             0.93786,             0.78627,           0.0049971,            0.003258,                   0,            0.000595,            0.000595,            0.000595
